person	 male or female 
time travel	 fictional genres 
time work	 work 
timing	 components of a film 
timing belt	 part of an automotive engine 
timothy	 types of grass 
tin can	 used for storing food 
tin man	 part of the wizard of oz 
tip sheet	 information 
tire	 for transportation 
tissue culture	 culture 
tissue engineering	 biotechnology 
tissue paper	 types of paper 
title page	 parts of a book 
tobacco pipe	 part of a tobacco set 
todd	 unable to speak 
toilet paper	 used for personal hygiene 
toilet seat	 part of a bathroom 
toilet training	 toilet training 
toledo	 one of ohio's largest cities 
tolerance	 intolerance 
toll	 charges 
toll booth	 used for collecting tolls 
toll plaza	 types of road infrastructure 
tom	 red 
tomato	 red and juicy 
tommy	 nuts 
tomorrow	 one day after today 
ton	 one half of a unit 
tone scale	 part of a piano setup 
tonight	 nighttime 
tony	 nuts 
top gear	 car parts 
top gun	 one of best air combat movies 
topic sentence	 parts of an essay 
topping	 ingredients in baking 
torch	 used for illumination 
torture	 cruel 
toss	 throws 
total war	 war 
touchdown	 types of scoring in football 
touch football	 types of football 
touch panel	 types of computer input devices 
touch screen	 input devices 
tough	 types of cheese 
tour bus	 used for transportation 
touring company	 associated with theater 
touring side	 bikes 
tourism	 recreational activities 
tourist office	 types of tourist information 
tourist trap	 types of attractions 
tourist visa	 types of visa 
tour match	 match 
town car	 types of cars 
town clerk	 officials 
town house	 types of homes 
town planning	 planning 
toy soldier	 made of plastic 
trace element	 essential for human health 
track bike	 types of bicycles 
track cycling	 cycling 
track lighting	 used for lighting a room 
track record	 history 
trade balance	 balance 
trade card	 advertising materials 
trade deal	 business deal 
trade deficit	 difference 
trade dispute	 disputes 
trade dress	 dress 
trade secret	 intellectual property 
trade surplus	 trade balance 
trade war	 war 
trading floor	 part of a stock exchange 
trading partner	 business partner 
traffic jam	 causes delays 
traffic light	 used for controlling traffic 
traffic sign	 used for road safety 
traffic signal	 used for controlling traffic 
traffic ticket	 legal documents 
traffic violation	 violation 
tragic	 types of plays 
trailer park	 types of housing 
trailer truck	 vehicles used for transportation 
trails	 used for hiking 
training wheel	 part of a bicycle setup 
train track	 types of transportation infrastructure 
train wreck	 accidents 
transaction data	 data 
trans fat	 fat 
transfer function	 functions 
transfer list	 lists 
transfer payment	 payments 
transfer rate	 transfer rate 
transfer window	 windows 
transform	 electrical devices 
transition metal	 transition metal 
transition state	 states 
transition temperature	 temperature 
transition zone	 bands 
translate	 parts of language 
transmission medium	 part of communication systems 
trap door	 used for escape 
trash	 located in streets 
trash can	 waste disposal items 
travel agent	 travel professionals 
traveling	 cause a desire to sees 
travelling	 cause jet lag 
treasure	 located in pirate ships 
treasury	 government departments 
tree farm	 types of farms 
tree house	 types of outdoor structures 
tree line	 boundaries 
tree ring	 part of a tree 
tree stand	 used for hunting 
tree trunk	 part of a tree 
trend line	 types of technical analysis 
tri	 types of yoga 
trial balance	 financial statements 
trial balloon	 test balloon 
trial run	 runs 
tribal	 styles of dance 
tribute band	 bands 
trigger	 components of a firearm 
triggering	 cause a desire to fights 
trim	 part of a carpenter's toolkit 
trip hop	 music genres 
triple	 types of chords 
tripoli	 north african city 
triumph	 victories 
trophy wife	 wife 
tropical	 climates 
tropical depression	 weather phenomena 
trouble maker	 mischievous 
trouble spot	 spots 
troy ounce	 abbreviated to oz 
troy weight	 weight 
truce	 agreement 
truck stop	 facilities for truck drivers 
true	 types of love 
truth drug	 drugs 
truth function	 function 
truth table	 used for logical reasoning 
truth value	 properties of statements 
try	 attempts 
tsunami	 natural disasters 
tuberculosis	 infectious diseases 
tube well	 types of wells 
tucker	 types of dog breeds 
tuition	 payments 
tuna	 fatty fish 
tung	 minerals 
tung oil	 oil 
tunnel broker	 broker 
tunnel vision	 sight 
turf	 used for playing sports 
turmoil	 unrest 
turnaround	 economic conditions 
turner	 essential for woodworking 
turning	 spinning 
turnout	 stations 
twelve	 one more than eleven 
twenty	 more than ten 
two	 one more than one 
type species	 species 
ugly	 colors 
ultimate	 extreme 
umbrella	 used for protection from the rain 
uncertainty	 unpleasant 
uncertainty principle	 principle 
unconscious	 states of awareness 
undercover	 types of law enforcement 
underneath	 one side of 
undersecretary	 secretary 
underwater	 different from air 
underway	 in progress 
unemployed	 unhappy 
unemployment	 causes a desire to work 
unemployment benefit	 benefit 
unemployment insurance	 insurance 
union job	 union job 
unique	 one of many 
unit circle	 part of a geometry kit 
unit cost	 cost 
unit operation	 operation 
unit price	 price 
unit test	 examinations 
unit testing	 testing 
unit vector	 vectors 
universal	 types of theme parks 
unknown	 information 
upbeat	 musical styles 
upgrade	 upgrade 
upper	 part of a shoe 
upper class	 classes 
upset	 angry 
upside	 sides 
urban exploration	 outdoor activities 
urgency	 emotional states 
use case	 design patterns 
user agent	 agent 
user experience	 human experiences 
user group	 types of computer groups 
user name	 components of a website 
utility function	 function 
utility knife	 part of a diy toolkit 
utility man	 infield positions 
utility pole	 found in a city 
vacation	 types of time off 
vacation day	 time off from work 
vacation home	 types of housing 
vacuum energy	 energy 
vague	 unspecific 
vale	 valley 
valencia	 one of spain's autonomous communities 
valentine	 associated with love 
valley fever	 diseases 
valley girl	 southern california 
valuable	 more expensive than others 
value judgment	 judgment 
value proposition	 components of marketing 
values	 part of ethics 
value theory	 philosophy 
vanguard	 military units 
variations	 differences 
variety store	 types of retail stores 
vary	 unpredictable 
venus	 planets 
vera	 one of wines 
verbal	 types of communication 
verge	 edge 
verification	 proving 
vertical	 types of lines 
veterinary	 medicine 
veto	 vetoes 
via	 ways of moving around 
vice	 used for gripping and holding objects 
vice director	 director 
vice presidency	 governmental positions 
vice squad	 police units 
victory garden	 garden 
victory lane	 part of race tracks 
victory lap	 components of a race 
video card	 components of a computer 
video chat	 video conferencing 
video conference	 types of remote work 
video jockey	 abbreviated to vj 
video nasty	 video 
video recording	 recording 
video referee	 used for football 
view camera	 essential for astrophotography 
viewing	 watching 
view model	 model 
village green	 types of open spaces 
village hall	 public buildings 
vincent	 nuts 
virtual	 types of reality 
visibility	 quality 
vision quest	 practice 
vision statement	 business concepts 
visitor pattern	 patterns in computer science 
vista	 software 
vitamin a	 vitamins 
voice mail	 used for communication 
voice message	 messages 
voice recognition	 speech recognition 
voice talent	 voice actors 
voice vote	 votes 
volatility	 vulnerability 
volley	 types of ball sports 
volumes	 numbers 
voluntary	 types of military service 
vote buying	 corruption 
voter	 roles in democratic process 
voting	 used for elects 
voting booth	 used for democratic processes 
voting machine	 used for casting votes 
voting station	 places for democratic participation 
wade	 cause wet feet 
wage	 pay 
wah	 vowel sounds 
wait	 causes impatience 
waiting	 cause a desire to sleeps 
wake	 movement 
wall clock	 timekeepers 
wang	 chinese dishes 
want	 desire 
wanting	 cause a desire to drinks 
war bride	 movie genres 
war cemetery	 cemeteries 
war chest	 used for fundraising 
war child	 abbreviated to w.c. 
war cry	 cry 
war grave	 graves 
warm	 types of weather 
war machine	 part of a war 
warming	 warming 
warner	 types of record labels 
warning	 information 
warning track	 part of a baseball field 
war paint	 used for warfare 
war party	 part of indian culture 
warren	 types of animal habitats 
warring	 cause casualties 
war room	 used for military strategy 
warsaw	 one of many cities in poland 
war story	 war-related 
wartime	 time periods 
war time	 time 
war veteran	 veteran 
war widow	 eligible for veterans benefits 
war zone	 dangerous 
wash	 used for cleaning dishes 
washing	 cause soap scum 
waste pipe	 used for waste disposal 
watch list	 lists 
water balloon	 used for playing water games 
water bath	 essential for canning 
water bomber	 types of firefighting aircraft 
water bottle	 used for hydration 
water buffalo	 domesticated animals 
water cannon	 used for fire suppression 
water clock	 time-keeping devices 
water column	 colum 
water content	 part of water cycle 
water cycle	 natural phenomena 
water dog	 types of dogs 
water feature	 found in a garden 
water fountain	 types of public art 
water frame	 part of a steam engine 
water gate	 used for water supply 
water glass	 used for drinking 
water gun	 used for water play 
water horse	 mythological creatures 
water ice	 ice 
water jet	 used for cutting 
water level	 levels 
water line	 part of a ship 
water main	 located in street 
water meter	 used for measuring water usage 
water monitor	 reptiles 
water pipe	 types of pipes 
water police	 police 
water pollution	 pollution 
water power	 power 
water sign	 zodiac signs 
water skiing	 water sports 
water slide	 water toys 
water table	 essential for science experiments 
water tap	 used for water consumption 
water taxi	 modes of transportation 
water wheel	 used for generating electricity 
wave function	 mathematical objects 
wave power	 renewable energy 
weakening	 wear 
wealthy	 types of people 
wearing	 cause tiredness 
weather balloon	 used for observing weather 
weather forecast	 types of news 
weather front	 meteorological phenomena 
weather map	 essential for weather forecasting 
weather report	 types of news programs 
web address	 types of addresses 
webber	 cooking appliances 
web content	 content 
web design	 design 
web designer	 professions related to technology 
weber	 types of grills 
web feed	 feed 
web services	 services 
webster	 dictionaries 
web television	 tv 
